

919 0.7 2.19605e-05
920 0.699997 0.000421649
921 0.699996 0.000500481
922 0.699996 0.000585776
923 0.699995 0.000651233
924 0.699995 0.000734022
925 0.699994 0.000908387
926 0.699993 0.00105822
927 0.699992 0.00111003
928 0.699993 0.0010672
929 0.699993 0.00101603
930 0.699992 0.00110086
931 0.699992 0.00120104
932 0.699992 0.00120569
933 0.699992 0.00111529
934 0.699993 0.0010177
935 0.699993 0.00104996
936 0.699992 0.00108374
937 0.699993 0.00103675
938 0.699994 0.000906533
939 0.699995 0.000764633
940 0.699995 0.000723259
941 0.699995 0.000698084
942 0.699996 0.000634414
943 0.699996 0.000526793
944 0.699997 0.00041506
945 0.699997 0.000362047
946 0.699998 0.000326287
947 0.699998 0.000280948
948 0.699998 0.000222692
949 0.699999 0.000166269
950 0.699999 0.000135913
951 0.699999 0.000115785
952 0.699999 9.56146e-05
953 0.699999 7.34344e-05
954 0.7 5.32642e-05
955 0.7 4.22881e-05
956 0.7 3.53985e-05
957 0.7 2.93484e-05
958 0.7 2.34809e-05
959 0.7 1.91361e-05
960 0.699998 0.000249448
961 0.699998 0.000326888
962 0.699997 0.000389623
963 0.699997 0.000418983
964 0.699997 0.000436468
965 0.699996 0.000593321
966 0.699995 0.000710995
967 0.699995 0.000744537
968 0.699995 0.000692732
969 0.699996 0.000604658
970 0.699995 0.000720891
971 0.699994 0.00081259
972 0.699994 0.000815728
973 0.699995 0.000730304
974 0.699996 0.000608409
975 0.699995 0.000686266
976 0.699995 0.000733843
977 0.699995 0.000703767
978 0.699996 0.000597411
979 0.699997 0.000459109
980 0.699997 0.000474869
981 0.699997 0.000477147
982 0.699997 0.00043623
983 0.699998 0.000352405
984 0.699998 0.000251911
985 0.699998 0.000240441
986 0.699998 0.000227469
987 0.699999 0.000197957
988 0.699999 0.000152738
989 0.699999 0.000102676
990 0.699999 9.18046e-05
991 0.699999 8.26248e-05
992 0.7 6.92288e-05
993 0.7 5.17374e-05
994 0.7 3.35265e-05
995 0.7 2.9139e-05
996 0.7 2.58823e-05
997 0.7 2.17826e-05
998 0.7 1.68185e-05
999 0.7 1.19817e-05
1000 0.7 0
1001 0.699999 0.000168341
1002 0.699998 0.000227246
1003 0.699999 0.000199044
1004 0.7 0
1005 0.699998 0.000318047
1006 0.699997 0.000448641
1007 0.699997 0.000465163
1008 0.699998 0.000355253
1009 0.7 0
1010 0.699997 0.000378853
1011 0.699996 0.000513541
1012 0.699996 0.000515169
1013 0.699997 0.000382545
1014 0.7 0
1015 0.699998 0.000353564
1016 0.699997 0.00046236
1017 0.699997 0.0004478
1018 0.699998 0.000320855
1019 0.7 0
1020 0.699998 0.000240455
1021 0.699998 0.000301756
1022 0.699998 0.000281552
1023 0.699999 0.000195052
1024 0.7 0
1025 0.699999 0.000120587
1026 0.699999 0.000145429
1027 0.699999 0.000130876
1028 0.699999 8.7785e-05
1029 0.7 0
1030 0.7 4.60996e-05
1031 0.7 5.37668e-05
1032 0.7 4.70103e-05
1033 0.7 3.08137e-05
1034 0.7 0
1035 0.7 1.48894e-05
1036 0.7 1.72359e-05
1037 0.7 1.51037e-05
1038 0.7 1.00461e-05
1039 0.7 0
1040 0.7 6.37943e-05
1041 0.699999 0.000119403
1042 0.699999 0.000152214
1043 0.699999 0.000150152
1044 0.699999 0.000128136
1045 0.699998 0.000230556
1046 0.699998 0.000300826
1047 0.699998 0.000312704
1048 0.699998 0.000263484
1049 0.699999 0.000180632
1050 0.699998 0.000281371
1051 0.699998 0.000348086
1052 0.699998 0.000349398
1053 0.699998 0.000285105
1054 0.699999 0.00018583
1055 0.699998 0.000265995
1056 0.699998 0.000314713
1057 0.699998 0.000304683
